YEAR_PATH_STARTED,REGION,AGE_GROUP,GENDER,STUDENT_COUNT,TOTAL_STUDENTS_YEAR,PCT_OF_YEAR,REGIONAL_POPULATION,STUDENTS_PER_100K_INHABITANTS
2022,Île-de-France,20-24 ans,F,5,1696,0.29,404601.0,1.2358
2025,Nouvelle-Aquitaine,40-44 ans,F,4,951,0.42,,
2023,Hauts-de-France,55-59 ans,M,1,1150,0.09,185099.0,0.5403
2025,Auvergne-Rhône-Alpes,25-29 ans,M,18,951,1.89,,
2023,Bourgogne-Franche-Comté,30-34 ans,M,2,1150,0.17,74377.0,2.689
2023,Pays de la Loire,25-29 ans,M,3,1150,0.26,102135.0,2.9373
2023,Centre-Val de Loire,20-24 ans,M,2,1150,0.17,69689.0,2.8699
2025,Bourgogne-Franche-Comté,55-59 ans,M,1,951,0.11,,
2023,Hauts-de-France,25-29 ans,Non renseigné,2,1150,0.17,,
2022,Île-de-France,35-39 ans,Non renseigné,69,1696,4.07,,
2024,DROM,30-34 ans,M,2,850,0.24,,
2023,Hauts-de-France,40-44 ans,M,4,1150,0.35,187291.0,2.1357
2024,Nouvelle-Aquitaine,30-34 ans,M,11,850,1.29,,
2022,Normandie,35-39 ans,Non renseigné,3,1696,0.18,,
2022,Île-de-France,50-54 ans,Non renseigné,24,1696,1.42,,
2022,Auvergne-Rhône-Alpes,45-49 ans,F,3,1696,0.18,261325.0,1.148
2022,Île-de-France,55-59 ans,M,15,1696,0.88,368496.0,4.0706
2023,Hauts-de-France,50-54 ans,Non renseigné,3,1150,0.26,,
2022,DROM,45-49 ans,F,1,1696,0.06,,
2023,Occitanie,30-34 ans,M,7,1150,0.61,166825.0,4.196
2022,DROM,50-54 ans,M,2,1696,0.12,,
2024,Hauts-de-France,50-54 ans,M,3,850,0.35,,
2024,DROM,45-49 ans,F,1,850,0.12,,
2023,Centre-Val de Loire,45-49 ans,Non renseigné,1,1150,0.09,,
2022,Pays de la Loire,35-39 ans,M,7,1696,0.41,115334.0,6.0693
2024,Provence-Alpes-Côte d'Azur,40-44 ans,F,2,850,0.24,,
2024,Occitanie,35-39 ans,F,3,850,0.35,,
2023,Grand Est,45-49 ans,Non renseigné,2,1150,0.17,,
2023,Pays de la Loire,25-29 ans,F,1,1150,0.09,100014.0,0.9999
2025,Grand Est,20-24 ans,M,3,951,0.32,,
2022,Grand Est,55-59 ans,F,1,1696,0.06,195067.0,0.5126
2023,Provence-Alpes-Côte d'Azur,40-44 ans,F,2,1150,0.17,165230.0,1.2104
2025,Hauts-de-France,55-59 ans,F,2,951,0.21,,
2025,Bretagne,40-44 ans,M,4,951,0.42,,
2022,Bretagne,30-34 ans,F,4,1696,0.24,90458.0,4.4219
2025,Normandie,35-39 ans,M,2,951,0.21,,
2022,Occitanie,40-44 ans,F,5,1696,0.29,189263.0,2.6418
2023,Auvergne-Rhône-Alpes,40-44 ans,Non renseigné,7,1150,0.61,,
2025,DROM,45-49 ans,F,1,951,0.11,,
2023,Île-de-France,55-59 ans,F,2,1150,0.17,391690.0,0.5106
2023,Normandie,35-39 ans,M,1,1150,0.09,95612.0,1.0459
2023,Provence-Alpes-Côte d'Azur,55-59 ans,Non renseigné,1,1150,0.09,,
2025,Grand Est,50-54 ans,Non renseigné,2,951,0.21,,
2022,Grand Est,25-29 ans,M,6,1696,0.35,154817.0,3.8755
2024,Bourgogne-Franche-Comté,25-29 ans,M,3,850,0.35,,
