year,region,age_group,gender,population
2022,Occitanie,50-54 ans,M,195654
2022,Occitanie,55-59 ans,F,209517
2022,Occitanie,55-59 ans,M,195790
2022,Occitanie,60 ans ou plus,F,4138078
2022,Occitanie,60 ans ou plus,M,3737432
2022,Pays de la Loire,20-24 ans,F,106346
2022,Pays de la Loire,20-24 ans,M,114235
2022,Pays de la Loire,25-29 ans,F,99107
2022,Pays de la Loire,25-29 ans,M,100744
2022,Pays de la Loire,30-34 ans,F,109419
2022,Pays de la Loire,30-34 ans,M,109151
2022,Pays de la Loire,35-39 ans,F,118596
2022,Pays de la Loire,35-39 ans,M,115334
2022,Pays de la Loire,40-44 ans,F,122512
2022,Pays de la Loire,40-44 ans,M,120838
2022,Pays de la Loire,45-49 ans,F,124451
2022,Pays de la Loire,45-49 ans,M,124318
2022,Pays de la Loire,50-54 ans,F,125188
2022,Pays de la Loire,50-54 ans,M,125566
2022,Pays de la Loire,55-59 ans,F,124748
2022,Pays de la Loire,55-59 ans,M,120879
2022,Pays de la Loire,60 ans ou plus,F,2591917
2022,Pays de la Loire,60 ans ou plus,M,2374786
2022,Provence-Alpes-Côte d'Azur,20-24 ans,F,132660
2022,Provence-Alpes-Côte d'Azur,20-24 ans,M,138543
2022,Provence-Alpes-Côte d'Azur,25-29 ans,F,131118
2022,Provence-Alpes-Côte d'Azur,25-29 ans,M,126941
2022,Provence-Alpes-Côte d'Azur,30-34 ans,F,150433
2022,Provence-Alpes-Côte d'Azur,30-34 ans,M,141501
2022,Provence-Alpes-Côte d'Azur,35-39 ans,F,159927
2022,Provence-Alpes-Côte d'Azur,35-39 ans,M,146665
2022,Provence-Alpes-Côte d'Azur,40-44 ans,F,162630
2022,Provence-Alpes-Côte d'Azur,40-44 ans,M,151410
2022,Provence-Alpes-Côte d'Azur,45-49 ans,F,162882
2022,Provence-Alpes-Côte d'Azur,45-49 ans,M,154923
2022,Provence-Alpes-Côte d'Azur,50-54 ans,F,176141
2022,Provence-Alpes-Côte d'Azur,50-54 ans,M,163854
2022,Provence-Alpes-Côte d'Azur,55-59 ans,F,182860
2022,Provence-Alpes-Côte d'Azur,55-59 ans,M,165494
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,F,3561106
2022,Provence-Alpes-Côte d'Azur,60 ans ou plus,M,3140043
2022,Île-de-France,20-24 ans,F,404601
2022,Île-de-France,20-24 ans,M,396662
2022,Île-de-France,25-29 ans,F,430824
2022,Île-de-France,25-29 ans,M,405623
2022,Île-de-France,30-34 ans,F,464175
2022,Île-de-France,30-34 ans,M,433274
2022,Île-de-France,35-39 ans,F,448949
2022,Île-de-France,35-39 ans,M,414370
2022,Île-de-France,40-44 ans,F,430626
2022,Île-de-France,40-44 ans,M,410374
2022,Île-de-France,45-49 ans,F,413851
2022,Île-de-France,45-49 ans,M,409685
2022,Île-de-France,50-54 ans,F,402973
2022,Île-de-France,50-54 ans,M,387069
2022,Île-de-France,55-59 ans,F,393823
2022,Île-de-France,55-59 ans,M,368496
2022,Île-de-France,60 ans ou plus,F,7830087
2022,Île-de-France,60 ans ou plus,M,7093517
2023,Auvergne-Rhône-Alpes,20-24 ans,F,233007
2023,Auvergne-Rhône-Alpes,20-24 ans,M,246852
2023,Auvergne-Rhône-Alpes,25-29 ans,F,221592
2023,Auvergne-Rhône-Alpes,25-29 ans,M,226065
2023,Auvergne-Rhône-Alpes,30-34 ans,F,248620
2023,Auvergne-Rhône-Alpes,30-34 ans,M,242741
2023,Auvergne-Rhône-Alpes,35-39 ans,F,262033
2023,Auvergne-Rhône-Alpes,35-39 ans,M,249965
2023,Auvergne-Rhône-Alpes,40-44 ans,F,268247
2023,Auvergne-Rhône-Alpes,40-44 ans,M,256829
2023,Auvergne-Rhône-Alpes,45-49 ans,F,255534
2023,Auvergne-Rhône-Alpes,45-49 ans,M,253875
2023,Auvergne-Rhône-Alpes,50-54 ans,F,273878
2023,Auvergne-Rhône-Alpes,50-54 ans,M,271548
2023,Auvergne-Rhône-Alpes,55-59 ans,F,269001
2023,Auvergne-Rhône-Alpes,55-59 ans,M,261618
2023,Auvergne-Rhône-Alpes,60 ans ou plus,F,5429567
2023,Auvergne-Rhône-Alpes,60 ans ou plus,M,4972183
2023,Bourgogne-Franche-Comté,20-24 ans,F,71616
2023,Bourgogne-Franche-Comté,20-24 ans,M,80233
2023,Bourgogne-Franche-Comté,25-29 ans,F,66383
2023,Bourgogne-Franche-Comté,25-29 ans,M,69836
2023,Bourgogne-Franche-Comté,30-34 ans,F,73157
2023,Bourgogne-Franche-Comté,30-34 ans,M,74377
2023,Bourgogne-Franche-Comté,35-39 ans,F,79655
2023,Bourgogne-Franche-Comté,35-39 ans,M,77782
2023,Bourgogne-Franche-Comté,40-44 ans,F,83816
2023,Bourgogne-Franche-Comté,40-44 ans,M,81926
2023,Bourgogne-Franche-Comté,45-49 ans,F,84371
2023,Bourgogne-Franche-Comté,45-49 ans,M,82626
2023,Bourgogne-Franche-Comté,50-54 ans,F,94568
2023,Bourgogne-Franche-Comté,50-54 ans,M,92887
2023,Bourgogne-Franche-Comté,55-59 ans,F,95795
2023,Bourgogne-Franche-Comté,55-59 ans,M,92786
2023,Bourgogne-Franche-Comté,60 ans ou plus,F,1908155
2023,Bourgogne-Franche-Comté,60 ans ou plus,M,1745989
2023,Bretagne,20-24 ans,F,91082
2023,Bretagne,20-24 ans,M,99576
2023,Bretagne,25-29 ans,F,82167
2023,Bretagne,25-29 ans,M,85660
2023,Bretagne,30-34 ans,F,89601
2023,Bretagne,30-34 ans,M,90177
2023,Bretagne,35-39 ans,F,98866
2023,Bretagne,35-39 ans,M,96283
2023,Bretagne,40-44 ans,F,106052
2023,Bretagne,40-44 ans,M,103591
2023,Bretagne,45-49 ans,F,106368
2023,Bretagne,45-49 ans,M,105860
2023,Bretagne,50-54 ans,F,115766
2023,Bretagne,50-54 ans,M,115090
2023,Bretagne,55-59 ans,F,114590
2023,Bretagne,55-59 ans,M,111240
2023,Bretagne,60 ans ou plus,F,2343316
2023,Bretagne,60 ans ou plus,M,2132145
2023,Centre-Val de Loire,20-24 ans,F,65499
2023,Centre-Val de Loire,20-24 ans,M,69689
2023,Centre-Val de Loire,25-29 ans,F,61948
2023,Centre-Val de Loire,25-29 ans,M,63087
2023,Centre-Val de Loire,30-34 ans,F,70080
2023,Centre-Val de Loire,30-34 ans,M,68607
2023,Centre-Val de Loire,35-39 ans,F,75644
2023,Centre-Val de Loire,35-39 ans,M,72285
2023,Centre-Val de Loire,40-44 ans,F,78202
2023,Centre-Val de Loire,40-44 ans,M,75229
2023,Centre-Val de Loire,45-49 ans,F,78706
2023,Centre-Val de Loire,45-49 ans,M,77221
2023,Centre-Val de Loire,50-54 ans,F,87864
2023,Centre-Val de Loire,50-54 ans,M,85833
2023,Centre-Val de Loire,55-59 ans,F,87515
2023,Centre-Val de Loire,55-59 ans,M,84264
2023,Centre-Val de Loire,60 ans ou plus,F,1754064
